Iteration,Original Input,Quantized Input,FP32 Result,Custom Result,Absolute Error,Relative Error (%)
1,1.2345,1.234375,1.23482345,1.234375,0.0004484499999999336,0.036316932594690654
2,1.23482345,1.234375,1.235146932345,1.234375,0.0007719323449999482,0.062497207804612265
3,1.235146932345,1.234375,1.2354704470382345,1.234375,0.0010954470382344983,0.08866638946003029
4,1.2354704470382345,1.234375,1.2357939940829383,1.234375,0.0014189940829383296,0.11482448447982149
5,1.2357939940829383,1.234375,1.2361175734823466,1.234375,0.0017425734823466321,0.14097149977712198
6,1.2361175734823466,1.234375,1.2364411852396948,1.234375,0.0020661852396948177,0.1671074422593154
7,1.2364411852396948,1.234375,1.2367648293582187,1.234375,0.0023898293582187424,0.19323231882805653
8,1.2367648293582187,1.234375,1.2370885058411545,1.234375,0.0027135058411544843,0.21934613637925965
9,1.2370885058411545,1.234375,1.2374122146917386,1.234375,0.0030372146917385656,0.24544890180312226
10,1.2374122146917386,1.234375,1.2377359559132077,1.234375,0.0033609559132077305,0.271540621984113
