Iteration,FP32 Input,Custom Input,FP32 Result,Custom Result,Absolute Error,Relative Error (%)
1,1.2345,1.234375,1.23482345,1.234375,0.0004484499999999336,0.036316932594690654
100,1.2666789641429927,1.234375,1.267005632039407,1.234375,0.03263063203940697,2.5754133378936768
200,1.299507983898534,1.234375,1.2998379346969238,1.234375,0.06546293469692377,5.036238207049052
300,1.3326669242094584,1.234375,1.3330001909018794,1.234375,0.09862519090187938,7.39873794280192
400,1.3661591006658664,1.234375,1.366495716575933,1.234375,0.13212071657593305,9.668578903927461
500,1.3999878621784154,1.234375,1.4003278609646332,1.234375,0.16595286096463324,11.85100044001942
600,1.4341565913131866,1.234375,1.434500006972318,1.234375,0.20012500697231794,13.950854374319974
700,1.4686687046299052,1.234375,1.469015571500368,1.234375,0.2346405715003681,15.972640185203735
800,1.503527653023568,1.234375,1.5038780057888703,1.234375,0.2695030057888703,17.920536423265297
900,1.538736922069499,1.234375,1.539090795761706,1.234375,0.30471579576170593,19.798428825695115
1000,1.5743000323718803,1.234375,1.5746574623751175,1.234375,0.3402824623751175,21.609935526032192
1100,1.6102205399157719,1.234375,1.6105815619697634,1.234375,0.37620656196976343,23.358429703470442
1200,1.6465020364226834,1.234375,1.6468666866263257,1.234375,0.41249168662632574,25.047059970065455
1300,1.6831481497097136,1.234375,1.6835164645246845,1.234375,0.4491414645246845,26.678768755106464
1400,1.7201625440522965,1.234375,1.7205345603067017,1.234375,0.4861595603067017,28.256308912506768
1500,1.7575489205505932,1.234375,1.7579246754426483,1.234375,0.5235496754426483,29.78225874841979
1600,1.7953110174995757,1.234375,1.7956905486013255,1.234375,0.5613155486013255,31.25903564166653
1700,1.833452610762814,1.234375,1.8338359560238902,1.234375,0.5994609560238902,32.68890840834188
1800,1.8719775141500314,1.234375,1.8723647119014464,1.234375,0.6379897119014464,34.07400854364251
1900,1.9108895797984502,1.234375,1.91128066875643,1.234375,0.6769056687564301,35.41634045808966
2000,1.9501926985579734,1.234375,1.9505877178278292,1.234375,0.7162127178278292,36.71779081155101
2100,1.9898908003802256,1.234375,1.9902897894602636,1.234375,0.7559147894602636,37.98013703648935
2200,2.0299878547115187,1.234375,2.0303908534969897,1.234375,0.7960158534969897,39.20505513142915
2300,2.0704878708897603,1.234375,2.0708949196768494,1.234375,0.8365199196768494,40.394126796514776
2400,2.111394898545349,1.234375,2.1118060380352035,1.234375,0.8774310380352035,41.54884597505715
2500,2.1527130280061013,1.234375,2.153128299308902,1.234375,0.9187532993089018,42.6706248579705
2600,2.1944463907062466,1.234375,2.194865835345317,1.234375,0.960490835345317,43.760799401855174
2700,2.236599159599524,1.234375,2.2370228195154835,1.234375,1.0026478195154835,44.820634406074
2800,2.2791755495764594,1.234375,2.279603467131417,1.234375,1.045228467131417,45.85132818940218
2900,2.322179817885796,1.234375,2.322612035867585,1.234375,1.0882370358675848,46.8540169026157
3000,2.3656162645601952,1.234375,2.3660528261866514,1.234375,1.1316778261866514,47.82977850966107
3100,2.409489232846187,1.234375,2.4099301817694716,1.234375,1.1755551817694716,48.779636466743185
3200,2.453803109638463,1.234375,2.4542484899494266,1.234375,1.2198734899494266,49.70456312573972
3300,2.498562325918525,1.234375,2.4990121821511164,1.234375,1.2646371821511164,50.60548288574302
3400,2.5437713571977447,1.234375,2.5442257343334647,1.234375,1.3098507343334647,51.483275114211466
3500,2.5894347239648687,1.234375,2.589893667437265,1.234375,1.355518667437265,52.33877685714291
3600,2.635556992138023,1.234375,2.6360205478372367,1.234375,1.4016455478372367,53.1727853558364
3700,2.682142773521278,1.234375,2.68261098779863,1.234375,1.44823598779863,53.98606038615621
3800,2.7291967262657657,1.234375,2.729669645938392,1.234375,1.495294645938392,54.779326434732255
3900,2.7767235553354706,1.234375,2.777201227691004,1.234375,1.542826227691004,55.55327472520697
4000,2.8247280129776686,1.234375,2.825210485778966,1.234375,1.5908354857789662,56.30856510644521
4100,2.8732148991981257,1.234375,2.8737022206880454,1.234375,1.6393272206880454,57.04582781355628
4200,2.922189062241032,1.234375,2.922681281147256,1.234375,1.688306281147256,57.765665111610666
4300,2.9716553990738017,1.234375,2.972152564613709,1.234375,1.737777564613709,58.46865283106919
4400,3.0216188558767128,1.234375,3.0221210177623004,1.234375,1.7877460177623004,59.15534180315583
4500,3.0720844285374853,1.234375,3.072591636980339,1.234375,1.8382166369803392,59.82625920269995
4600,3.12305716315082,1.234375,3.123569468867135,1.234375,1.8891944688671352,60.481909805332855
4700,3.1745421565229726,1.234375,3.1750596107386246,1.234375,1.9406846107386246,61.12277716534452
4800,3.22654455668137,1.234375,3.227067211137038,1.234375,1.992692211137038,61.749324719980805
4900,3.279069563389374,1.234375,3.279597470345713,1.234375,2.045222470345713,62.36199682548601
5000,3.3321224286662225,1.234375,3.3326556409090893,1.234375,2.0982806409090893,62.961219729762284
5100,3.3857084573121603,1.234375,3.3862470281578916,1.234375,2.1518720281578916,63.54740248612352
5200,3.4398330074388914,1.234375,3.4403769907396353,1.234375,2.2060019907396353,64.12093781226498
5300,3.4945014910053223,1.234375,3.495050941154423,1.234375,2.260675941154423,64.68220289824207
5400,3.549719374358725,1.234375,3.550274346296161,1.234375,2.315899346296161,65.23156016695535
5500,3.6054921787813137,1.234375,3.6060527279991916,1.234375,2.3716777279991916,65.76935799036723
5600,3.661825481042324,1.234375,3.6623916635904283,1.234375,2.4280166635904283,66.2959313644276
5700,3.7187249139556324,1.234375,3.719296786447028,1.234375,2.484921786447028,66.81160254545928
5800,3.776196166942995,1.234375,3.7767737865596893,1.234375,2.5423987865596893,67.31668165054684
5900,3.8342449866029362,1.234375,3.8348284111015967,1.234375,2.6004534111015967,67.81146722428156
6000,3.8928771772853477,1.234375,3.893466465003076,1.234375,2.659091465003076,68.29624677404215
6100,3.9520986016718838,1.234375,3.952693811532051,1.234375,2.718318811532051,68.77129727583021
6200,4.011915181362169,1.234375,4.012516372880306,1.234375,2.778141372880306,69.2368856525331
6300,4.072332897465931,1.234375,4.072940130755678,1.234375,2.8385651307556783,69.69326922635176
6400,4.133357791200961,1.234375,4.133971126980081,1.234375,2.8995961269800814,70.14069614700655
6500,4.194995964497283,1.234375,4.195615464093733,1.234375,2.9612404640937333,70.57940579722244
6600,4.257253580607256,1.234375,4.257879305965317,1.234375,3.023504305965317,71.0096291768855
6700,4.320136864721845,1.234375,4.320768878408318,1.234375,3.086393878408318,71.43158926716954
6800,4.383652104593073,1.234375,4.384290469803533,1.234375,3.149915469803533,71.84550137584031
6900,4.44780565116275,1.234375,4.448450431727867,1.234375,3.214075431727867,72.25157346486282
7000,4.512603919197515,1.234375,4.513255179589435,1.234375,3.278880179589435,72.650006461361
7100,4.578053387930234,1.234375,4.578711193269028,1.234375,3.3443361932690276,73.04099455290817
7200,4.644160601707873,1.234375,4.644825017768044,1.234375,3.410450017768044,73.42472546806191
7300,4.710932170645871,1.234375,4.711603263862936,1.234375,3.477228263862936,73.80138074299651
7400,4.778374771289111,1.234375,4.77905260876624,1.234375,3.54467760876624,74.1711359750303
7500,4.846495147279485,1.234375,4.8471797967942125,1.234375,3.6128047967942125,74.53416106379258
7600,4.915300110030198,1.234375,4.915991640041201,1.234375,3.6816166400412014,74.89062044072853
7700,4.984796539406868,1.234375,4.985495019060809,1.234375,3.751120019060809,75.24067328759388
7800,5.054991384415442,1.234375,5.055696883553884,1.234375,3.8213218835538836,75.5844737445513
7900,5.125891663897008,1.234375,5.126604253063398,1.234375,3.892229253063398,75.92217110844082
8000,5.197504467229654,1.234375,5.198224217676378,1.234375,3.963849217676378,76.25391002176183
8100,5.269836955037318,1.234375,5.270563938732822,1.234375,4.036188938732822,76.57983065286984
8200,5.342896359905786,1.234375,5.343630649541777,1.234375,4.109255649541777,76.90006886786142
8300,5.416689987105884,1.234375,5.417431656104595,1.234375,4.183056656104595,77.21475639459055
8400,5.491225215323958,1.234375,5.49197433784549,1.234375,4.25759933784549,77.52402097923408
8500,5.566509497399635,1.234375,5.5672661483493755,1.234375,4.3328911483493755,77.8279865357977
8600,5.642550361071081,1.234375,5.6433146161071885,1.234375,4.4089396161071885,78.12677328893133
8700,5.719355409727675,1.234375,5.720127345268648,1.234375,4.485752345268648,78.42049791040051
8800,5.7969323231702985,1.234375,5.797712016402616,1.234375,4.563337016402616,78.70927364954031
